original_name	extId	id	lat	lon	name
Herford	8000162	A=1@O=Herford@X=8663642@Y=52119609@U=80@L=8000162@B=1@p=1715799947@i=U×008013593@	52.119656	8.663741	Herford
Rüsselsheim am Main	106992	A=1@O=Am Mainweg, Bischofsheim b Rüsselsheim@X=8351284@Y=49991189@U=80@L=106992@B=1@p=1715799947@	49.991188	8.351284	Am Mainweg, Bischofsheim b Rüsselsheim
Kerpen	8000178	A=1@O=Kerpen-Horrem@X=6713495@Y=50916250@U=80@L=8000178@B=1@p=1715799947@i=U×008015327@	50.916557	6.713378	Kerpen-Horrem
Neuwied	8000276	A=1@O=Neuwied@X=7473128@Y=50431462@U=80@L=8000276@B=1@p=1715799947@i=U×008019490@	50.431255	7.473641	Neuwied
Weimar	8010366	A=1@O=Weimar Hbf@X=11326462@Y=50991490@U=80@L=8010366@B=1@p=1715799947@i=U×008016019@	50.991653	11.326471	Weimar Hbf
Dormagen	8001506	A=1@O=Dormagen@X=6814839@Y=51099496@U=80@L=8001506@B=1@p=1715799947@i=U×008015308@	51.099827	6.814417	Dormagen
Sindelfingen	8005574	A=1@O=Sindelfingen@X=8999074@Y=48703888@U=80@L=8005574@B=1@p=1715799947@i=U×008029069@	48.703815	8.999128	Sindelfingen
Plauen	8096005	A=1@O=PLAUEN@X=12127230@Y=50506756@U=80@L=8096005@B=1@p=1715799947@i=U×008031734@	50.506756	12.12723	PLAUEN
Grevenbroich	8000133	A=1@O=Grevenbroich@X=6580445@Y=51093698@U=80@L=8000133@B=1@p=1715799947@i=U×008015278@	51.093266	6.580293	Grevenbroich
Rosenheim	8000320	A=1@O=Rosenheim@X=12119203@Y=47850021@U=80@L=8000320@B=1@p=1715799947@i=U×008020174@	47.850014	12.119266	Rosenheim
Neubrandenburg	8010241	A=1@O=Neubrandenburg@X=13261462@Y=53561830@U=80@L=8010241@B=1@p=1715799947@i=U×008028126@	53.56194	13.261768	Neubrandenburg
Friedrichshafen	8000112	A=1@O=Friedrichshafen Stadt@X=9473902@Y=47653220@U=80@L=8000112@B=1@p=1715799947@i=U×008029162@	47.653168	9.473471	Friedrichshafen Stadt
Herten	8002797	A=1@O=Herten(Baden)@X=7739667@Y=47549503@U=80@L=8002797@B=1@p=1715799947@i=U×008014460@	47.549564	7.739946	Herten(Baden)
Bergheim	8000355	A=1@O=Bergheim(Erft)@X=6646300@Y=50951704@U=80@L=8000355@B=1@p=1715799947@i=U×008015293@	50.951775	6.646273	Bergheim(Erft)
Schwäbisch Gmünd	8000329	A=1@O=Schwäbisch Gmünd@X=9787797@Y=48801008@U=80@L=8000329@B=1@p=1715799947@i=U×008029541@	48.80119	9.78839	Schwäbisch Gmünd
Offenburg	8000290	A=1@O=Offenburg@X=7946725@Y=48476479@U=80@L=8000290@B=1@p=1715799947@i=U×008014309@	48.476505	7.94677	Offenburg
Garbsen	638330	A=1@O=Garbsen@X=9596614@Y=52417611@U=80@L=638330@B=1@p=1715799947@	52.41761	9.596614	Garbsen
